genre,release_year,average_rating,yoy_change
Horror,2006,2.78,-0.07
Horror,2007,3.37,0.59
Horror,2008,3.21,-0.16
Horror,2009,3.41,0.20
Horror,2010,3.38,-0.03
Horror,2011,3.19,-0.19
Horror,2012,3.39,0.20
Horror,2013,3.26,-0.13
Horror,2014,3.60,0.34
Horror,2015,3.02,-0.58
Horror,2016,2.86,-0.16
Horror,2017,3.15,0.29
Horror,2018,2.88,-0.27
IMAX,1991,3.77,
IMAX,1992,2.50,-1.27
IMAX,1994,3.94,1.44
IMAX,1995,3.85,-0.09
IMAX,1997,4.00,0.15
IMAX,1998,4.31,0.31
IMAX,1999,3.83,-0.48
IMAX,2000,3.50,-0.33
IMAX,2002,3.19,-0.31
IMAX,2003,3.26,0.07
IMAX,2004,3.82,0.56
IMAX,2005,3.59,-0.23
IMAX,2006,3.55,-0.04
IMAX,2007,3.50,-0.05
IMAX,2008,3.91,0.41
IMAX,2009,3.61,-0.30
IMAX,2010,3.78,0.17
IMAX,2011,3.44,-0.34
IMAX,2012,3.60,0.16
IMAX,2013,3.41,-0.19
IMAX,2014,3.47,0.06
IMAX,2015,3.85,0.38
Musical,1927,4.00,
Musical,1928,2.33,-1.67
Musical,1929,3.25,0.92
Musical,1930,4.13,0.88
Musical,1931,1.00,-3.13
Musical,1933,3.79,2.79
Musical,1934,4.00,0.21
Musical,1935,4.06,0.06
Musical,1936,3.80,-0.26
Musical,1937,3.67,-0.13
Musical,1938,3.50,-0.17
Musical,1939,3.87,0.37
Musical,1940,3.60,-0.27
Musical,1941,3.39,-0.21
Musical,1942,3.70,0.31
Musical,1944,3.96,0.26
Musical,1945,3.45,-0.51
Musical,1946,3.28,-0.17
Musical,1947,3.50,0.22
Musical,1948,3.38,-0.12
Musical,1949,3.33,-0.05
Musical,1950,3.47,0.14
Musical,1951,3.45,-0.02
Musical,1952,4.07,0.62
Musical,1953,3.62,-0.45
Musical,1954,4.00,0.38
Musical,1955,4.05,0.05
Musical,1956,3.94,-0.11
Musical,1957,3.23,-0.71
Musical,1958,3.56,0.33
Musical,1959,3.46,-0.10
Musical,1960,3.50,0.04
Musical,1961,3.58,0.08
Musical,1962,3.14,-0.44
Musical,1963,3.58,0.44
Musical,1964,3.87,0.29
Musical,1965,3.81,-0.06
Musical,1966,3.56,-0.25
Musical,1967,3.82,0.26
Musical,1968,3.46,-0.36
Musical,1969,3.00,-0.46
Musical,1971,3.81,0.81
Musical,1972,3.14,-0.67
Musical,1973,3.55,0.41
Musical,1974,4.33,0.78
Musical,1975,3.33,-1.00
Musical,1976,2.75,-0.58
Musical,1977,2.86,0.11
Musical,1978,3.12,0.26
Musical,1979,3.60,0.48
Musical,1980,3.55,-0.05
Musical,1981,3.63,0.08
Musical,1982,3.13,-0.50
Musical,1983,2.50,-0.63
Musical,1984,3.03,0.53
Musical,1985,4.67,1.64
Musical,1986,3.60,-1.07
Musical,1987,3.28,-0.32
Musical,1988,2.85,-0.43
Musical,1989,3.42,0.57
Musical,1990,3.45,0.03
Musical,1991,3.70,0.25
Musical,1992,3.73,0.03
Musical,1993,3.54,-0.19
Musical,1994,3.88,0.34
Musical,1995,3.13,-0.75
Musical,1996,3.33,0.20
Musical,1997,3.37,0.04
Musical,1998,3.37,0.00
Musical,1999,3.88,0.51
Musical,2000,3.87,-0.01
Musical,2001,3.49,-0.38
Musical,2002,3.33,-0.16
Musical,2003,3.34,0.01
Musical,2004,3.45,0.11
Musical,2005,3.49,0.04
Musical,2006,3.45,-0.04
Musical,2007,3.62,0.17
Musical,2008,3.48,-0.14
Musical,2009,3.59,0.11
Musical,2010,3.76,0.17
Musical,2011,2.46,-1.30
Musical,2012,3.45,0.99
Musical,2013,3.62,0.17
Musical,2014,3.06,-0.56
Musical,2015,3.00,-0.06
Mystery,1927,3.00,
Mystery,1931,3.62,0.62
Mystery,1933,4.00,0.38
Mystery,1935,4.05,0.05
Mystery,1936,2.83,-1.22
Mystery,1938,3.92,1.09
Mystery,1939,3.50,-0.42
Mystery,1940,4.13,0.63
Mystery,1941,4.08,-0.05
Mystery,1942,3.70,-0.38
Mystery,1944,3.96,0.26
Mystery,1945,3.58,-0.38
Mystery,1946,4.02,0.44
Mystery,1947,3.50,-0.52
Mystery,1948,2.50,-1.00
Mystery,1949,4.22,1.72
Mystery,1950,3.82,-0.40
Mystery,1953,3.50,-0.32
Mystery,1954,4.22,0.72
Mystery,1955,3.93,-0.29
Mystery,1956,3.56,-0.37
Mystery,1957,4.39,0.83
Mystery,1958,3.91,-0.48
Mystery,1959,4.17,0.26
Mystery,1960,3.83,-0.34
Mystery,1962,1.50,-2.33
Mystery,1963,3.82,2.32
Mystery,1964,3.67,-0.15
Mystery,1965,3.21,-0.46
Mystery,1966,3.63,0.42
Mystery,1967,3.92,0.29
Mystery,1968,2.50,-1.42
Mystery,1969,3.83,1.33
Mystery,1970,3.00,-0.83
Mystery,1971,3.65,0.65
Mystery,1972,4.19,0.54
Mystery,1973,3.73,-0.46
Mystery,1974,4.13,0.40
Mystery,1975,3.43,-0.70
Mystery,1976,3.68,0.25
Mystery,1977,3.83,0.15
Mystery,1978,3.63,-0.20
Mystery,1979,3.05,-0.58
Mystery,1980,2.94,-0.11
Mystery,1981,3.31,0.37
Mystery,1982,3.83,0.52
Mystery,1983,2.82,-1.01
Mystery,1984,3.00,0.18
Mystery,1985,3.29,0.29
Mystery,1986,3.73,0.44
Mystery,1987,3.30,-0.43
Mystery,1988,3.49,0.19
Mystery,1989,2.92,-0.57
Mystery,1990,3.47,0.55
Mystery,1991,3.42,-0.05
Mystery,1992,3.87,0.45
Mystery,1993,3.05,-0.82
Mystery,1994,3.32,0.27
Mystery,1995,3.86,0.54
Mystery,1996,3.52,-0.34
Mystery,1997,3.41,-0.11
Mystery,1998,3.27,-0.14
Mystery,1999,3.57,0.30
Mystery,2000,3.77,0.20
Mystery,2001,3.62,-0.15
Mystery,2002,3.50,-0.12
Mystery,2003,3.71,0.21
Mystery,2004,3.31,-0.40
Mystery,2005,3.55,0.24
Mystery,2006,3.55,0.00
Mystery,2007,3.67,0.12
Mystery,2008,3.32,-0.35
Mystery,2009,3.81,0.49
Mystery,2010,4.02,0.21
Mystery,2011,3.66,-0.36
Mystery,2012,2.92,-0.74
Mystery,2013,3.62,0.70
Mystery,2014,3.41,-0.21
Mystery,2015,2.94,-0.47
Mystery,2016,3.61,0.67
Mystery,2017,3.15,-0.46
Mystery,2018,3.06,-0.09
Romance,1916,3.50,
Romance,1923,4.00,0.50
Romance,1924,3.50,-0.50
Romance,1925,3.94,0.44
Romance,1926,4.00,0.06
Romance,1927,4.00,0.00
Romance,1928,4.50,0.50
Romance,1930,4.00,-0.50
Romance,1931,3.80,-0.20
Romance,1932,3.50,-0.30
Romance,1933,3.85,0.35
Romance,1934,4.24,0.39
Romance,1935,4.00,-0.24
Romance,1936,3.65,-0.35
Romance,1937,4.06,0.41
Romance,1938,3.81,-0.25
Romance,1939,3.63,-0.18
Romance,1940,4.20,0.57
Romance,1941,3.75,-0.45
Romance,1942,4.17,0.42
Romance,1943,3.75,-0.42
Romance,1944,3.94,0.19
Romance,1945,3.83,-0.11
Romance,1946,4.08,0.25
Romance,1947,3.92,-0.16
Romance,1948,3.40,-0.52
Romance,1949,3.82,0.42
Romance,1950,3.77,-0.05
Romance,1951,3.85,0.08
Romance,1952,3.99,0.14
Romance,1953,3.97,-0.02
Romance,1954,3.86,-0.11
Romance,1955,3.72,-0.14
Romance,1956,3.95,0.23
Romance,1957,3.79,-0.16
Romance,1958,3.91,0.12
Romance,1959,4.07,0.16
Romance,1960,3.83,-0.24
Romance,1961,3.72,-0.11
Romance,1962,3.78,0.06
Romance,1963,3.79,0.01
Romance,1964,3.96,0.17
Romance,1965,3.97,0.01
Romance,1966,3.58,-0.39
Romance,1967,4.07,0.49
Romance,1968,3.78,-0.29
Romance,1969,3.36,-0.42
Romance,1970,3.70,0.34
Romance,1971,4.22,0.52
Romance,1972,4.12,-0.10
Romance,1973,3.42,-0.70
Romance,1974,3.31,-0.11
Romance,1975,3.61,0.30
Romance,1976,2.82,-0.79
Romance,1977,3.76,0.94
Romance,1978,3.16,-0.60
Romance,1979,4.06,0.90
Romance,1980,3.23,-0.83
Romance,1981,3.39,0.16
Romance,1982,3.33,-0.06
Romance,1983,2.81,-0.52
Romance,1984,3.35,0.54
Romance,1985,3.28,-0.07
Romance,1986,3.29,0.01
Romance,1987,3.69,0.40
Romance,1988,3.45,-0.24
Romance,1989,3.58,0.13
Romance,1990,3.45,-0.13
Romance,1991,3.58,0.13
Romance,1992,3.32,-0.26
Romance,1993,3.51,0.19
Romance,1994,3.65,0.14
Romance,1995,3.38,-0.27
Romance,1996,3.39,0.01
Romance,1997,3.55,0.16
Romance,1998,3.38,-0.17
Romance,1999,3.47,0.09
Romance,2000,3.42,-0.05
Romance,2001,3.49,0.07
Romance,2002,3.42,-0.07
Romance,2003,3.48,0.06
Romance,2004,3.60,0.12
Romance,2005,3.37,-0.23
Romance,2006,3.43,0.06
Romance,2007,3.50,0.07
Romance,2008,3.53,0.03
Romance,2009,3.52,-0.01
Romance,2010,3.30,-0.22
Romance,2011,3.37,0.07
Romance,2012,3.39,0.02
Romance,2013,3.53,0.14
Romance,2014,3.22,-0.31
Romance,2015,3.21,-0.01
Romance,2016,3.36,0.15
Romance,2017,3.62,0.26
Romance,2018,4.50,0.88
Sci-Fi,1902,3.50,
Sci-Fi,1908,4.00,0.50
Sci-Fi,1916,3.75,-0.25
Sci-Fi,1924,4.50,0.75
Sci-Fi,1927,3.86,-0.64
Sci-Fi,1931,3.91,0.05
Sci-Fi,1933,3.50,-0.41
Sci-Fi,1935,3.17,-0.33
Sci-Fi,1940,1.67,-1.50
Sci-Fi,1951,3.81,2.14
Sci-Fi,1952,2.50,-1.31
Sci-Fi,1953,3.15,0.65
Sci-Fi,1954,3.21,0.06
Sci-Fi,1955,2.00,-1.21
Sci-Fi,1956,3.45,1.45
Sci-Fi,1957,3.20,-0.25
Sci-Fi,1958,3.36,0.16
Sci-Fi,1959,2.75,-0.61
Sci-Fi,1960,3.22,0.47
Sci-Fi,1961,2.17,-1.05
Sci-Fi,1962,2.83,0.66
Sci-Fi,1963,2.68,-0.15
Sci-Fi,1964,2.33,-0.35
Sci-Fi,1965,3.61,1.28
Sci-Fi,1966,3.28,-0.33
Sci-Fi,1967,3.54,0.26
Sci-Fi,1968,3.81,0.27
Sci-Fi,1969,3.00,-0.81
Sci-Fi,1970,2.78,-0.22
Sci-Fi,1971,3.86,1.08
Sci-Fi,1972,3.10,-0.76
Sci-Fi,1973,3.48,0.38
Sci-Fi,1974,2.50,-0.98
Sci-Fi,1975,3.29,0.79
Sci-Fi,1976,3.14,-0.15
Sci-Fi,1977,4.12,0.98
Sci-Fi,1978,3.32,-0.80
Sci-Fi,1979,3.55,0.23
Sci-Fi,1980,3.90,0.35
Sci-Fi,1981,3.68,-0.22
Sci-Fi,1982,3.80,0.12
Sci-Fi,1983,3.84,0.04
Sci-Fi,1984,3.63,-0.21
Sci-Fi,1985,3.76,0.13
Sci-Fi,1986,3.53,-0.23
Sci-Fi,1987,3.25,-0.28
Sci-Fi,1988,3.21,-0.04
Sci-Fi,1989,3.25,0.04
Sci-Fi,1990,3.27,0.02
Sci-Fi,1991,3.65,0.38
Sci-Fi,1992,2.89,-0.76
Sci-Fi,1993,3.25,0.36
Sci-Fi,1994,3.22,-0.03
Sci-Fi,1995,3.27,0.05
Sci-Fi,1996,3.17,-0.10
Sci-Fi,1997,3.39,0.22
Sci-Fi,1998,3.22,-0.17
Sci-Fi,1999,3.54,0.32
Sci-Fi,2000,3.20,-0.34
Sci-Fi,2001,3.41,0.21
Sci-Fi,2002,3.35,-0.06
Sci-Fi,2003,3.21,-0.14
Sci-Fi,2004,3.58,0.37
Sci-Fi,2005,3.22,-0.36
Sci-Fi,2006,3.65,0.43
Sci-Fi,2007,3.37,-0.28
Sci-Fi,2008,3.53,0.16
Sci-Fi,2009,3.50,-0.03
Sci-Fi,2010,3.74,0.24
Sci-Fi,2011,3.44,-0.30
Sci-Fi,2012,3.53,0.09
Sci-Fi,2013,3.48,-0.05
Sci-Fi,2014,3.62,0.14
Sci-Fi,2015,3.53,-0.09
Sci-Fi,2016,3.49,-0.04
Sci-Fi,2017,3.73,0.24
Sci-Fi,2018,3.71,-0.02
Thriller,1924,4.50,
Thriller,1927,3.50,-1.00
Thriller,1931,3.73,0.23
Thriller,1933,4.00,0.27
Thriller,1934,3.67,-0.33
Thriller,1935,4.05,0.38
Thriller,1936,2.50,-1.55
Thriller,1937,2.50,0.00
Thriller,1938,3.88,1.38
Thriller,1940,4.08,0.20
Thriller,1941,4.06,-0.02
Thriller,1942,3.79,-0.27
Thriller,1943,4.17,0.38
Thriller,1944,3.89,-0.28
Thriller,1945,3.92,0.03
Thriller,1946,4.06,0.14
Thriller,1947,3.75,-0.31
Thriller,1948,3.94,0.19
Thriller,1949,4.19,0.25
Thriller,1950,3.50,-0.69
Thriller,1951,3.90,0.40
Thriller,1953,3.33,-0.57
Thriller,1954,4.20,0.87
Thriller,1955,4.05,-0.15
Thriller,1956,3.62,-0.43
Thriller,1957,4.17,0.55
Thriller,1958,4.07,-0.10
Thriller,1959,4.16,0.09
Thriller,1960,2.85,-1.31
Thriller,1962,3.98,1.13
Thriller,1963,3.62,-0.36
Thriller,1964,3.82,0.20
Thriller,1965,3.77,-0.05
Thriller,1966,3.33,-0.44
Thriller,1967,3.58,0.25
Thriller,1968,3.95,0.37
Thriller,1969,3.39,-0.56
Thriller,1970,3.79,0.40
Thriller,1971,3.87,0.08
Thriller,1972,3.84,-0.03
Thriller,1973,3.62,-0.22
Thriller,1974,3.87,0.25
Thriller,1975,3.38,-0.49
Thriller,1976,3.81,0.43
Thriller,1977,3.32,-0.49
Thriller,1978,3.13,-0.19
Thriller,1979,3.25,0.12
Thriller,1980,3.20,-0.05
Thriller,1981,3.67,0.47
Thriller,1982,3.80,0.13
Thriller,1983,3.18,-0.62
Thriller,1984,3.54,0.36
Thriller,1985,3.35,-0.19
Thriller,1986,3.44,0.09
Thriller,1987,3.29,-0.15
Thriller,1988,3.43,0.14
Thriller,1989,3.38,-0.05
Thriller,1990,3.52,0.14
Thriller,1991,3.91,0.39
Thriller,1992,3.49,-0.42
Thriller,1993,3.52,0.03
Thriller,1994,3.59,0.07
Thriller,1995,3.60,0.01
Thriller,1996,3.39,-0.21
Thriller,1997,3.17,-0.22
Thriller,1998,3.26,0.09
Thriller,1999,3.54,0.28
Thriller,2000,3.45,-0.09
Thriller,2001,3.48,0.03
Thriller,2002,3.41,-0.07
Thriller,2003,3.38,-0.03
Thriller,2004,3.44,0.06
Thriller,2005,3.35,-0.09
Thriller,2006,3.61,0.26
Thriller,2007,3.46,-0.15
Thriller,2008,3.36,-0.10
Thriller,2009,3.49,0.13
Thriller,2010,3.62,0.13
Thriller,2011,3.47,-0.15
Thriller,2012,3.48,0.01
Thriller,2013,3.47,-0.01
Thriller,2014,3.67,0.20
Thriller,2015,3.25,-0.42
Thriller,2016,3.36,0.11
Thriller,2017,3.43,0.07
Thriller,2018,3.14,-0.29
War,1915,2.00,
War,1925,3.65,1.65
War,1926,4.00,0.35
War,1930,4.35,0.35
War,1932,3.00,-1.35
War,1933,3.80,0.80
War,1934,4.50,0.70
War,1937,3.71,-0.79
War,1938,4.00,0.29
War,1939,3.61,-0.39
War,1940,4.13,0.52
War,1941,3.83,-0.30
War,1942,3.19,-0.64
War,1943,3.75,0.56
War,1944,3.93,0.18
War,1945,3.67,-0.26
War,1946,4.06,0.39
War,1948,3.50,-0.56
War,1949,3.50,0.00
War,1950,3.00,-0.50
War,1951,3.89,0.89
War,1952,3.50,-0.39
War,1953,3.85,0.35
War,1954,4.00,0.15
War,1955,3.89,-0.11
War,1956,3.50,-0.39
War,1957,4.19,0.69
War,1958,3.73,-0.46
War,1959,3.67,-0.06
War,1960,3.55,-0.12
War,1961,3.80,0.25
War,1962,4.21,0.41
War,1963,4.06,-0.15
War,1964,4.23,0.17
War,1965,4.00,-0.23
War,1966,4.05,0.05
War,1967,3.97,-0.08
War,1968,3.83,-0.14
War,1969,4.10,0.27
War,1970,3.99,-0.11
War,1971,3.38,-0.61
War,1972,4.00,0.62
War,1973,4.50,0.50
War,1975,3.71,-0.79
War,1976,3.40,-0.31
War,1977,3.63,0.23
War,1978,3.66,0.03
War,1979,4.16,0.50
War,1980,4.04,-0.12
War,1981,4.07,0.03
War,1982,3.95,-0.12
War,1983,3.50,-0.45
War,1984,3.57,0.07
War,1985,3.91,0.34
War,1986,3.81,-0.10
War,1987,3.98,0.17
War,1988,2.94,-1.04
War,1989,3.99,1.05
War,1990,3.11,-0.88
War,1991,3.13,0.02
War,1992,3.80,0.67
War,1993,3.92,0.12
War,1994,3.99,0.07
War,1995,3.75,-0.24
War,1996,3.55,-0.20
War,1997,3.76,0.21
War,1998,3.88,0.12
War,1999,3.80,-0.08
War,2000,3.54,-0.26
War,2001,3.52,-0.02
War,2002,3.73,0.21
War,2003,3.80,0.07
War,2004,3.50,-0.30
War,2005,3.70,0.20
War,2006,3.66,-0.04
War,2007,3.63,-0.03
War,2008,3.68,0.05
War,2009,4.07,0.39
War,2010,3.65,-0.42
War,2011,3.46,-0.19
War,2012,3.25,-0.21
War,2013,3.50,0.25
War,2014,3.73,0.23
War,2015,3.67,-0.06
War,2016,3.57,-0.10
War,2017,3.53,-0.04
Western,1903,2.50,
Western,1931,3.50,1.00
Western,1936,3.50,0.00
Western,1939,3.60,0.10
Western,1940,3.00,-0.60
Western,1943,4.50,1.50
Western,1946,4.00,-0.50
Western,1948,3.68,-0.32
Western,1949,2.50,-1.18
Western,1950,3.25,0.75
Western,1952,4.21,0.96
Western,1953,3.83,-0.38
Western,1954,3.75,-0.08
Western,1955,3.88,0.13
Western,1956,3.73,-0.15
Western,1957,4.00,0.27
Western,1958,3.25,-0.75
Western,1959,3.75,0.50
Western,1960,3.62,-0.13
Western,1961,3.17,-0.45
Western,1962,4.21,1.04
Western,1963,3.75,-0.46
Western,1964,3.96,0.21
Western,1965,3.93,-0.03
Western,1966,4.13,0.20
Western,1967,3.00,-1.13
Western,1968,4.17,1.17
Western,1969,3.88,-0.29
Western,1970,4.03,0.15
Western,1971,3.65,-0.38
Western,1972,4.40,0.75
Western,1973,3.71,-0.69
Western,1974,3.94,0.23
Western,1975,2.60,-1.34
Western,1976,4.21,1.61
Western,1977,3.00,-1.21
Western,1978,3.00,0.00
Western,1979,2.80,-0.20
Western,1980,4.00,1.20
Western,1982,3.38,-0.62
Western,1983,3.40,0.02
Western,1985,3.58,0.18
Western,1986,3.13,-0.45
Western,1987,4.10,0.97
Western,1988,3.06,-1.04
Western,1989,3.75,0.69
Western,1990,3.64,-0.11
Western,1991,3.21,-0.43
Western,1992,3.91,0.70
Western,1993,3.75,-0.16
Western,1994,3.17,-0.58
Western,1995,3.40,0.23
Western,1996,4.16,0.76
Western,1998,2.33,-1.83
Western,1999,2.21,-0.12
Western,2000,3.10,0.89
Western,2001,2.17,-0.93
Western,2002,3.17,1.00
Western,2003,3.88,0.71
Western,2004,3.19,-0.69
Western,2005,3.31,0.12
Western,2006,1.00,-2.31
Western,2007,4.10,3.10
Western,2008,3.40,-0.70
Western,2009,4.25,0.85
Western,2010,3.51,-0.74
Western,2011,3.40,-0.11
Western,2012,3.94,0.54
Western,2013,2.79,-1.15
Western,2014,2.93,0.14
Western,2015,3.81,0.88
Western,2016,3.58,-0.23
Western,2017,3.25,-0.33
